LUGAR,MAQ,MES,DIA,CODIGO_HOGAR_SIMPLE,ZONA,MANZANA,NPERSONA,10SEXO,EDAD,10OCUP,AUTO,10SEGUR TELEFERICO,INCIDENTE TELEFERICO,10ESTUDIOS,INGRESOS,VIAJO,cod est,cod tra
EL ALTO,WK034,6,13,3913,496,11400,1,HOMBRE,16 a 34,OTROS,NO,"SÍ, ME SIENTO SEGURO",ATRACO,SUPERIOR NO UNIV,MENOS DE 1600,NO,126,
EL ALTO,WK034,6,13,3914,237,1427,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,1600 A 3000,SÍ,309,234
EL ALTO,WK034,6,13,3915,496,12061,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,MENOS DE 1600,SÍ,,4
EL ALTO,WK034,6,13,3916,237,11874,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,5,
EL ALTO,WK034,6,13,3917,496,11813,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,
EL ALTO,WK034,6,13,3918,496,11813,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,201
EL ALTO,WK034,6,13,3919,496,1433,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,355,
EL ALTO,WK034,6,13,3920,496,11496,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,
EL ALTO,WK034,6,13,3921,496,11340,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,122
EL ALTO,WK034,6,13,3922,238,10640,1,HOMBRE,>64,OTROS,NO,NADA,NADA,PRIMARIA,1600 A 3000,NO,,
EL ALTO,WK051,6,13,3923,233,13187,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3924,233,13187,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3925,233,12872,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3926,233,13228,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3927,233,12937,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,PRIMARIA,NS NC,SÍ,354,
EL ALTO,WK051,6,13,3928,233,12937,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,24
EL ALTO,WK051,6,13,3929,233,12872,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,PRIMARIA,NS NC,SÍ,203,
EL ALTO,WK051,6,13,3930,233,12872,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3931,524,13142,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3932,524,13142,1,HOMBRE,16 a 34,ESTUDIA,NO,NADA,NADA,SUPERIOR NO UNIV,NS NC,SÍ,201,
EL ALTO,WK051,6,13,3933,455,12837,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,PRIMARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3934,455,12837,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,201
EL ALTO,WK051,6,13,3935,455,12890,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,NS NC,SÍ,,
EL ALTO,WK051,6,13,3936,455,12890,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3937,455,13051,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,NS NC,SÍ,,278
EL ALTO,WK051,6,13,3938,455,13051,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,354
EL ALTO,WK051,6,13,3939,524,13147,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,5,
EL ALTO,WK051,6,13,3940,524,13147,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,UNIVERSITARIOS,NS NC,SÍ,,
EL ALTO,WK051,6,13,3941,524,13185,1,HOMBRE,35 a 64,OTROS,SI,NADA,NADA,SECUNDARIA,NS NC,SÍ,,21
EL ALTO,WK051,6,13,3941,524,13185,2,MUJER,16 a 34,OTROS,NO,NADA,NADA,PRIMARIA,NS NC,SÍ,201,
EL ALTO,WK051,6,13,3942,454,12892,1,HOMBRE,35 a 64,OTROS,SI,NADA,NADA,UNIVERSITARIOS,NS NC,SÍ,,222
EL ALTO,WK051,6,13,3943,454,12892,1,HOMBRE,35 a 64,TRABAJA,SI,NADA,NADA,SECUNDARIA,NS NC,SÍ,,4
EL ALTO,WK051,6,13,3944,454,13254,1,MUJER,16 a 34,TRABAJA,NO,NADA,NADA,PRIMARIA,NS NC,SÍ,222,
EL ALTO,WK051,6,13,3945,454,13254,1,HOMBRE,16 a 34,TRABAJA,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,2,
EL ALTO,WK051,6,13,3946,454,13118,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3947,454,13118,1,HOMBRE,>64,OTROS,NO,NADA,NADA,PRIMARIA,NS NC,NO,,
EL ALTO,WK051,6,13,3948,453,12548,1,HOMBRE,35 a 64,OTROS,SI,NADA,NADA,SECUNDARIA,NS NC,SÍ,,215
EL ALTO,WK051,6,13,3949,453,12906,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3950,453,12251,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,277
EL ALTO,WK051,6,13,3951,453,12251,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,1
EL ALTO,WK051,6,13,3952,453,12795,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,NS NC,SÍ,76,
EL ALTO,WK051,6,13,3953,453,12795,1,HOMBRE,35 a 64,OTROS,SI,NADA,NADA,SECUNDARIA,6000 A 10000,SÍ,,4
EL ALTO,WK051,6,13,3954,454,12352,1,HOMBRE,16 a 34,ESTUDIA,NS NC,NADA,NADA,SECUNDARIA,NS NC,NO,22,
EL ALTO,WK051,6,13,3955,454,12352,1,MUJER,16 a 34,ESTUDIA,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,201
EL ALTO,WK051,6,13,3956,454,12643,1,MUJER,35 a 64,OTROS,SI,NADA,NADA,PRIMARIA,NS NC,SÍ,,
EL ALTO,WK051,6,13,3957,454,12643,1,MUJER,16 a 34,TRABAJA,NO,NADA,NADA,SUPERIOR NO UNIV,NS NC,SÍ,,201
EL ALTO,WK051,6,13,3958,454,12238,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,NS NC,NO,,
EL ALTO,WK051,6,13,3959,454,12238,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,354
EL ALTO,WK076,6,13,3960,358,11267,1,MUJER,35 a 64,NADA,NO,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,SÍ,,201
EL ALTO,WK076,6,13,3961,358,11267,1,HOMBRE,35 a 64,NADA,NO,NADA,NADA,PRIMARIA,1600 A 3000,SÍ,,81
EL ALTO,WK076,6,13,3962,358,11267,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,
EL ALTO,WK076,6,13,3963,358,11267,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,
EL ALTO,WK076,6,13,3963,358,11267,2,MUJER,16 a 34,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,MENOS DE 1600,SÍ,,17
EL ALTO,WK076,6,13,3964,358,11482,1,HOMBRE,16 a 34,OTROS,SI,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,122
EL ALTO,WK076,6,13,3964,358,11482,2,MUJER,16 a 34,OTROS,SI,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,SÍ,239,
EL ALTO,WK076,6,13,3965,358,11482,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,76,
EL ALTO,WK076,6,13,3966,358,11482,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,UNIVERSITARIOS,1600 A 3000,SÍ,,314
EL ALTO,WK076,6,13,3967,358,11482,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,1600 A 3000,SÍ,,33
EL ALTO,WK076,6,13,3968,358,11482,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,358
EL ALTO,WK076,6,13,3969,358,11563,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,21
EL ALTO,WK076,6,13,3970,358,11563,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,24,
EL ALTO,WK076,6,13,3971,358,11563,1,MUJER,35 a 64,TRABAJA,SI,NADA,NADA,UNIVERSITARIOS,1600 A 3000,SÍ,,4
EL ALTO,WK076,6,13,3972,358,10983,1,HOMBRE,35 a 64,TRABAJA,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,83
EL ALTO,WK076,6,13,3973,358,10983,1,HOMBRE,35 a 64,TRABAJA,SI,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,314
EL ALTO,WK076,6,13,3973,358,10983,2,MUJER,16 a 34,TRABAJA,SI,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,SÍ,33,
EL ALTO,WK076,6,13,3974,358,11500,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,376
EL ALTO,WK076,6,13,3974,358,11500,2,HOMBRE,35 a 64,TRABAJA,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,22,
EL ALTO,WK076,6,13,3975,358,11500,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,4
EL ALTO,WK076,6,13,3976,358,11500,1,HOMBRE,35 a 64,TRABAJA,NO,NADA,NADA,PRIMARIA,1600 A 3000,SÍ,,518
EL ALTO,WK076,6,13,3977,358,10966,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SIN ESTUDIOS,MENOS DE 1600,SÍ,,
EL ALTO,WK076,6,13,3978,358,10966,1,HOMBRE,>64,TRABAJA,NO,NADA,NADA,PRIMARIA,1600 A 3000,SÍ,,482
EL ALTO,WK076,6,13,3979,525,11641,1,HOMBRE,35 a 64,TRABAJA,NO,NADA,NADA,PRIMARIA,1600 A 3000,SÍ,,513
EL ALTO,WK076,6,13,3979,525,11641,2,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,
EL ALTO,WK076,6,13,3980,525,11641,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,UNIVERSITARIOS,1600 A 3000,SÍ,4,548
EL ALTO,WK076,6,13,3981,525,11641,1,HOMBRE,35 a 64,OTROS,SI,NADA,NADA,UNIVERSITARIOS,1600 A 3000,SÍ,,548
EL ALTO,WK076,6,13,3982,525,11687,1,MUJER,<16,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,201,
EL ALTO,WK076,6,13,3983,525,11687,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,222,
EL ALTO,WK076,6,13,3983,525,11687,2,HOMBRE,16 a 34,OTROS,SI,NADA,NADA,SECUNDARIA,3000 A 6000,SÍ,,235
EL ALTO,WK076,6,13,3984,525,11579,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,70,
EL ALTO,WK076,6,13,3984,525,11579,2,MUJER,16 a 34,OTROS,NO,NADA,NADA,UNIVERSITARIOS,1600 A 3000,SÍ,202,
EL ALTO,WK076,6,13,3985,525,11579,1,MUJER,16 a 34,OTROS,SI,NADA,NADA,SUPERIOR NO UNIV,MENOS DE 1600,SÍ,1,
EL ALTO,WK076,6,13,3986,525,11579,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,1600 A 3000,SÍ,222,
EL ALTO,WK076,6,13,3987,525,11579,1,MUJER,>64,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,
EL ALTO,WK076,6,13,3988,525,12065,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,201
EL ALTO,WK076,6,13,3989,525,12065,1,HOMBRE,16 a 34,OTROS,SI,NADA,NADA,UNIVERSITARIOS,1600 A 3000,SÍ,,201
EL ALTO,WK076,6,13,3990,525,11568,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,64
EL ALTO,WK076,6,13,3991,227,11143,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,1600 A 3000,SÍ,,21
EL ALTO,WK076,6,13,3992,227,11143,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,
EL ALTO,WK076,6,13,3993,227,11143,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,1600 A 3000,SÍ,,33
EL ALTO,WK092,6,13,3994,355,10492,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,355
EL ALTO,WK092,6,13,3995,355,10492,1,HOMBRE,35 a 64,TRABAJA,NO,NADA,NADA,SUPERIOR NO UNIV,MENOS DE 1600,SÍ,,201
EL ALTO,WK092,6,13,3996,355,10492,1,MUJER,16 a 34,TRABAJA,NO,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,SÍ,17,
EL ALTO,WK092,6,13,3997,355,10492,1,HOMBRE,35 a 64,TRABAJA,SI,NADA,NADA,UNIVERSITARIOS,1600 A 3000,SÍ,,238
EL ALTO,WK092,6,13,3998,355,10096,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,
EL ALTO,WK092,6,13,3999,355,10096,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,NO,,
EL ALTO,WK092,6,13,4000,355,10061,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,243
EL ALTO,WK092,6,13,4001,355,10061,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,NO,,226
EL ALTO,WK092,6,13,4002,355,10061,1,HOMBRE,35 a 64,TRABAJA,NO,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,NO,,355
EL ALTO,WK092,6,13,4003,355,10973,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,
EL ALTO,WK092,6,13,4004,355,10973,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,NO,,5
EL ALTO,WK092,6,13,4005,355,10973,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,NO,,
EL ALTO,WK092,6,13,4006,355,10927,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,SUPERIOR NO UNIV,3000 A 6000,SÍ,,201
EL ALTO,WK092,6,13,4007,355,10927,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,SUPERIOR NO UNIV,1600 A 3000,SÍ,,1
EL ALTO,WK092,6,13,4008,355,10302,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,NO,,
EL ALTO,WK092,6,13,4009,355,10302,1,HOMBRE,>64,OTROS,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,NO,,
EL ALTO,WK092,6,13,4010,355,10302,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,201
EL ALTO,WK092,6,13,4011,355,10302,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,3000 A 6000,SÍ,,354
EL ALTO,WK092,6,13,4012,228,11106,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,SÍ,5,
EL ALTO,WK092,6,13,4013,228,11106,1,HOMBRE,35 a 64,TRABAJA,SI,NADA,NADA,SECUNDARIA,MENOS DE 1600,NO,,355
EL ALTO,WK092,6,13,4014,228,11106,1,MUJER,16 a 34,TRABAJA,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,356,
EL ALTO,WK092,6,13,4015,228,10709,1,HOMBRE,>64,OTROS,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,NO,,
EL ALTO,WK092,6,13,4016,228,10709,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,302
EL ALTO,WK092,6,13,4017,228,10709,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,PRIMARIA,1600 A 3000,NO,,
EL ALTO,WK092,6,13,4018,228,11239,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,201
EL ALTO,WK092,6,13,4019,228,11239,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,226,
EL ALTO,WK092,6,13,4020,228,11239,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,SÍ,5,
EL ALTO,WK092,6,13,4021,227,10891,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,201
EL ALTO,WK092,6,13,4022,227,10891,1,MUJER,16 a 34,TRABAJA,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,NO,,228
EL ALTO,WK092,6,13,4023,227,10891,1,MUJER,16 a 34,TRABAJA,NO,NADA,NADA,PRIMARIA,NS NC,SÍ,354,
EL ALTO,WK092,6,13,4024,227,10347,1,HOMBRE,>64,TRABAJA,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,NO,,278
EL ALTO,WK092,6,13,4025,227,10347,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,1600 A 3000,SÍ,,
EL ALTO,WK314,6,13,4026,232,12751,1,HOMBRE,35 a 64,NADA,NO,NADA,NADA,PRIMARIA,6000 A 10000,SÍ,,401
EL ALTO,WK314,6,13,4027,232,12751,1,HOMBRE,35 a 64,TRABAJA,NO,NADA,NADA,SUPERIOR NO UNIV,1600 A 3000,SÍ,,49
EL ALTO,WK314,6,13,4028,232,12647,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,
EL ALTO,WK314,6,13,4029,232,12647,1,HOMBRE,16 a 34,TRABAJA,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,NO,,16
EL ALTO,WK314,6,13,4030,232,12647,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,
EL ALTO,WK314,6,13,4031,232,12647,1,HOMBRE,16 a 34,OTROS,SI,NADA,NADA,SUPERIOR NO UNIV,NS NC,SÍ,222,
EL ALTO,WK314,6,13,4032,232,12647,1,HOMBRE,16 a 34,OTROS,SI,NADA,NADA,SUPERIOR NO UNIV,NS NC,SÍ,222,
EL ALTO,WK314,6,13,4033,232,12647,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,UNIVERSITARIOS,3000 A 6000,SÍ,,232
EL ALTO,WK314,6,13,4034,232,12647,1,MUJER,<16,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,522,
EL ALTO,WK314,6,13,4035,232,12647,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SUPERIOR NO UNIV,MENOS DE 1600,SÍ,,
EL ALTO,WK314,6,13,4036,232,11694,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,237
EL ALTO,WK314,6,13,4037,232,12647,1,MUJER,16 a 34,TRABAJA,NO,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,SÍ,309,
EL ALTO,WK314,6,13,4038,232,11883,1,MUJER,16 a 34,TRABAJA,NO,NADA,NADA,SECUNDARIA,3000 A 6000,SÍ,,206
EL ALTO,WK314,6,13,4039,232,11883,1,MUJER,16 a 34,TRABAJA,SI,NADA,NADA,SUPERIOR NO UNIV,3000 A 6000,SÍ,203,
EL ALTO,WK314,6,13,4040,232,12208,1,MUJER,35 a 64,TRABAJA,SI,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,11,
EL ALTO,WK314,6,13,4041,232,11902,1,MUJER,16 a 34,OTROS,SI,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,
EL ALTO,WK314,6,13,4042,232,11902,1,HOMBRE,16 a 34,OTROS,NO,"SÍ, ME SIENTO SEGURO",ATRACO,SECUNDARIA,NS NC,SÍ,,373
EL ALTO,WK314,6,13,4043,232,11883,1,HOMBRE,16 a 34,OTROS,SI,NADA,NADA,SUPERIOR NO UNIV,3000 A 6000,SÍ,,227
EL ALTO,WK314,6,13,4044,232,11924,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,NS NC,SÍ,,
EL ALTO,WK314,6,13,4045,232,11814,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,UNIVERSITARIOS,NS NC,SÍ,4,
EL ALTO,WK314,6,13,4046,232,12208,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,124
EL ALTO,WK314,6,13,4047,232,12208,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,SÍ,,12
EL ALTO,WK314,6,13,4048,232,11814,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,PRIMARIA,1600 A 3000,SÍ,,
EL ALTO,WK314,6,13,4049,232,11694,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,354
EL ALTO,WK314,6,13,4050,232,11694,1,HOMBRE,>64,OTROS,SI,0,ATRACO,SIN ESTUDIOS,MENOS DE 1600,SÍ,,201
EL ALTO,WK314,6,13,4051,232,11694,1,HOMBRE,>64,OTROS,SI,NADA,NADA,SIN ESTUDIOS,MENOS DE 1600,SÍ,,232
EL ALTO,WK314,6,13,4052,232,11694,1,MUJER,>64,OTROS,NO,NADA,NADA,SIN ESTUDIOS,MENOS DE 1600,SÍ,,
EL ALTO,WK314,6,13,4053,232,11694,1,HOMBRE,>64,TRABAJA,SI,NADA,NADA,SECUNDARIA,3000 A 6000,SÍ,,201
EL ALTO,WK314,6,13,4054,526,11737,1,MUJER,35 a 64,TRABAJA,NO,NADA,NADA,SUPERIOR NO UNIV,MENOS DE 1600,SÍ,,376
EL ALTO,WK314,6,13,4055,232,11814,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,NO,,
EL ALTO,WK314,6,13,4056,231,1412,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,131
